Loss,Time,Solver,Subset,p
885156.0786472288,0.12706255912780762,Analytic,Test,502
1.179650150884739e+17,1.019564151763916,SGD,Train,502
2.1466483364068086e+17,1.019564151763916,SGD,Test,502
9.068979707113143e-20,0.12298989295959473,Analytic,Train,502
885156.0786472288,0.12298989295959473,Analytic,Test,502
1.0903774309711848e+24,0.2896406650543213,SGD,Train,502
1.1269401772862313e+24,0.2896406650543213,SGD,Test,502
9.068979707113143e-20,0.14482855796813965,Analytic,Train,502
885156.0786472288,0.14482855796813965,Analytic,Test,502
1.0466400783049587e+18,0.9036269187927246,SGD,Train,502
1.4737949279272617e+18,0.9036269187927246,SGD,Test,502
9.068979707113143e-20,0.1249692440032959,Analytic,Train,502
885156.0786472288,0.1249692440032959,Analytic,Test,502
2.428223911583011e+16,1.3304920196533203,SGD,Train,502
4.364903081747432e+16,1.3304920196533203,SGD,Test,502
9.068979707113143e-20,0.119781494140625,Analytic,Train,502
885156.0786472288,0.119781494140625,Analytic,Test,502
6.238622390153567e+23,0.3052966594696045,SGD,Train,502
6.17712836357645e+23,0.3052966594696045,SGD,Test,502
9.068979707113143e-20,0.12339019775390625,Analytic,Train,502
885156.0786472288,0.12339019775390625,Analytic,Test,502
3.345720019458528e+22,0.2971029281616211,SGD,Train,502
3.186620278356232e+22,0.2971029281616211,SGD,Test,502
9.068979707113143e-20,0.13007378578186035,Analytic,Train,502
885156.0786472288,0.13007378578186035,Analytic,Test,502
2.1933490095659758e+23,0.2956552505493164,SGD,Train,502
1.967370702968322e+23,0.2956552505493164,SGD,Test,502
9.068979707113143e-20,0.119873046875,Analytic,Train,502
885156.0786472288,0.119873046875,Analytic,Test,502
6.562119484203652e+23,0.23231959342956543,SGD,Train,502
6.283335145644821e+23,0.23231959342956543,SGD,Test,502
9.068979707113143e-20,0.1219320297241211,Analytic,Train,502
885156.0786472288,0.1219320297241211,Analytic,Test,502
8.333429309643612e+21,0.3171966075897217,SGD,Train,502
6.415834041383371e+21,0.3171966075897217,SGD,Test,502
9.068979707113143e-20,0.12781095504760742,Analytic,Train,502
885156.0786472288,0.12781095504760742,Analytic,Test,502
6.003827054721676e+17,0.9068496227264404,SGD,Train,502
1.1569870403799217e+18,0.9068496227264404,SGD,Test,502
9.068979707113143e-20,0.12040424346923828,Analytic,Train,502
885156.0786472288,0.12040424346923828,Analytic,Test,502
5.2119171588379526e+23,0.23869943618774414,SGD,Train,502
5.0010163692006286e+23,0.23869943618774414,SGD,Test,502
9.068979707113143e-20,0.13366270065307617,Analytic,Train,502
885156.0786472288,0.13366270065307617,Analytic,Test,502
4.0474100692985214e+23,0.17769694328308105,SGD,Train,502
4.2335711786202786e+23,0.17769694328308105,SGD,Test,502
9.068979707113143e-20,0.12246918678283691,Analytic,Train,502
